Years	publications
1956	3
1957	2
1959	1
1960	1
1961	1
1962	3
1963	3
1964	1
1965	2
1967	5
1968	4
1969	7
1970	5
1971	12
1972	6
1973	19
1974	15
1975	23
1976	21
1977	39
1978	34
1979	26
1980	47
1981	47
1982	54
1983	74
1984	77
1985	124
1986	140
1987	152
1988	199
1989	239
1990	266
1991	264
1992	256
1993	291
1994	293
1995	323
1996	331
1997	303
1998	317
1999	355
2000	386
2001	385
2002	464
2003	589
2004	705
2005	800
2006	882
2007	927
2008	1043
2009	1025
2010	1096
2011	1078
2012	1117
2013	1265
2014	1291
2015	1402
2016	1544
2017	1746
2018	2032
2019	2451
2020	2421
2021	131
